sys.exec.out.time {s},time {s},altitude {m},latitude {r},longitude {r},seat_accel_x {m/s2},seat_accel_y {m/s2},seat_accel_z {m/s2}
0,0.01,48.08326751,0.4985046078,-1.406339805,-4.79E-07,2.23E-06,-1.28E-06
0.1,0.11,48.13694588,0.4985046078,-1.406339805,543.0394741,-0.3367967357,-197.3614753
0.2,0.21,48.22038345,0.4985046078,-1.406339805,512.6352761,-0.3163034312,-186.3146676
0.3,0.31,48.33411775,0.4985046077,-1.406339805,482.2312954,-0.2957891671,-175.2674145
0.4,0.41,48.47836111,0.4985046006,-1.406339805,451.826762,-0.2744651712,-164.2211761
0.5,0.51,48.65322433,0.498504592,-1.406339805,427.3783079,-0.3448236277,-155.2650571
0.6,0.61,48.92846149,0.4985045832,-1.406339802,39.94701409,-0.002967019411,-15.54604516
0.7,0.71,49.50515057,0.4985045744,-1.406339799,38.04539291,0.4255053898,-12.68362427
0.8,0.81,50.38908134,0.4985045652,-1.406339795,38.43163785,0.3082889563,-13.35766861
0.9,0.91,51.58629918,0.4985045553,-1.406339792,40.16060748,0.03116237385,-15.12540365
1,1.01,53.11360711,0.4985045445,-1.40633979,40.91799119,-0.0563222672,-15.74591081
1.1,1.11,54.97854858,0.4985045328,-1.406339787,40.63329424,-0.0131394118,-15.52610316
1.2,1.21,57.17321527,0.49850452,-1.406339786,38.64669196,-0.09126387548,-13.69025339
1.3,1.31,59.68780696,0.4985045064,-1.406339784,39.7231214,-0.4253277297,-15.07232099
1.4,1.41,62.53148708,0.4985044922,-1.406339783,40.04621375,-0.3354082706,-15.39268463
1.5,1.51,65.70776237,0.498504478,-1.406339781,40.38814186,-0.0488871171,-15.45835081
1.6,1.61,69.21752127,0.4985044643,-1.406339778,40.17173713,0.2705649192,-15.21613559
1.7,1.71,73.05678252,0.4985044517,-1.406339773,39.74876406,0.5057227343,-14.79910504
1.8,1.81,77.21994675,0.4985044408,-1.406339766,39.44189173,0.5181785741,-14.51260748
1.9,1.91,81.70364395,0.4985044322,-1.406339755,39.33544426,0.3743447904,-14.4751309
2,2.01,86.50769211,0.4985044261,-1.40633974,39.45524348,0.1529366876,-14.63028739
2.1,2.11,91.63394747,0.498504423,-1.40633972,39.38815717,0.1232628544,-14.66126908
2.2,2.21,97.08122065,0.4985044229,-1.406339695,39.23065229,0.3274128822,-14.59760144
2.3,2.31,102.8472442,0.498504426,-1.406339664,39.38016502,0.2996625034,-14.80593485
2.4,2.41,108.9331264,0.4985044325,-1.406339628,39.53090696,0.2236090316,-15.03903475
2.5,2.51,115.3412948,0.4985044422,-1.406339585,39.6546008,0.06639421365,-15.1949668
2.6,2.61,122.0738088,0.4985044554,-1.406339537,39.67777586,-0.06487639117,-15.20733864
2.7,2.71,129.1313428,0.4985044723,-1.406339482,39.55621121,-0.1842240409,-15.16635169
2.8,2.81,136.5127807,0.498504493,-1.406339421,39.35667313,-0.1265098901,-15.15079649
2.9,2.91,144.2161065,0.4985045178,-1.406339354,39.15039239,-0.07843372306,-15.10946031
3,3.01,152.2390277,0.4985045468,-1.406339279,38.99528179,0.03105882,-15.10401617
3.1,3.11,160.5796455,0.4985045802,-1.406339199,38.87879258,0.04850186618,-15.06808764
3.2,3.21,169.2364246,0.4985046181,-1.406339111,38.76543853,0.1832206602,-15.13485433
3.3,3.31,178.2083176,0.4985046608,-1.406339017,38.64039965,0.0897504192,-15.07680792
3.4,3.41,187.4939006,0.4985047083,-1.406338916,38.48567601,0.110909603,-15.2686874
3.5,3.51,197.0923339,0.4985047605,-1.406338808,38.39564763,0.09597947352,-15.11116599
3.6,3.61,207.0024446,0.4985048173,-1.406338693,38.30007507,-0.06896343361,-15.12556287
3.7,3.71,217.2227743,0.4985048787,-1.406338571,38.19774508,0.03427095172,-14.91345646
3.8,3.81,227.7521183,0.4985049448,-1.406338442,38.02474948,0.1857491025,-14.72889369
3.9,3.91,238.5886628,0.4985050158,-1.406338306,37.79458042,0.1639653551,-14.76962171
4,4.01,249.7300756,0.4985050915,-1.406338163,37.69950495,0.2055973423,-14.62684073
4.1,4.11,261.1748216,0.4985051724,-1.406338013,37.65371671,0.01965291091,-14.64055766
4.2,4.21,272.9220612,0.4985052583,-1.406337855,37.65929862,-0.08489587783,-14.79579244
4.3,4.31,284.9721804,0.4985053492,-1.40633769,37.68702892,-0.1698105569,-14.90844575
4.4,4.41,297.3257221,0.4985054453,-1.406337517,37.7667174,-0.1621306747,-14.81643166
4.5,4.51,309.983317,0.4985055465,-1.406337336,37.6542596,-0.04198588349,-14.81707104
4.6,4.61,322.9441991,0.4985056532,-1.406337148,37.48768519,-0.250170062,-14.78980376
4.7,4.71,336.2062013,0.4985057654,-1.406336951,37.49714433,-0.3634176013,-14.80779435
4.8,4.81,349.769105,0.4985058831,-1.406336746,37.35260247,-0.4318585681,-14.97338534
4.9,4.91,363.6316064,0.4985060062,-1.406336533,37.06119625,-0.4897710851,-14.84361381
5,5.01,377.7904402,0.4985061347,-1.406336311,36.64201504,-0.4259563429,-14.55162134
5.1,5.11,392.2410985,0.4985062686,-1.40633608,36.08245189,-0.3964823285,-14.31038705
5.2,5.21,406.9776537,0.4985064077,-1.406335841,35.42947722,-0.2150363037,-14.2955022
5.3,5.31,421.9938511,0.4985065516,-1.406335594,34.86610503,-0.07968210225,-13.77062209
5.4,5.41,437.2826904,0.4985067003,-1.40633534,34.35252678,-0.2276588638,-13.47771401
5.5,5.51,452.8374914,0.4985068538,-1.406335077,33.92667673,-0.3781052978,-13.11428982
5.6,5.61,468.6528968,0.4985070124,-1.406334807,33.41304673,-0.3776626889,-13.12856473
5.7,5.71,484.7247218,0.4985071767,-1.406334528,32.82385514,-0.4998042482,-13.01904634
5.8,5.81,501.0471325,0.4985073466,-1.406334241,32.09058081,-0.4285185761,-13.26073472
5.9,5.91,517.6139769,0.4985075217,-1.406333947,31.52616571,-0.8164146737,-13.0479253
6,6.01,534.4179482,0.4985077023,-1.406333643,30.96183408,-0.9843636236,-12.66475421
6.1,6.11,551.4526172,0.4985078887,-1.406333331,30.24557121,-0.9896545689,-12.55820393
6.2,6.21,568.7118871,0.4985080805,-1.406333011,29.45126426,-0.8850903882,-12.5292854
6.3,6.31,586.1881759,0.4985082779,-1.406332683,28.66347557,-0.8134998702,-12.09147477
6.4,6.41,603.8722425,0.498508481,-1.406332346,27.87289164,-0.7068660069,-11.75652934
6.5,6.51,621.7551026,0.4985086896,-1.406332002,27.12234399,-0.7639031681,-11.62572325
6.6,6.61,639.8287335,0.4985089036,-1.40633165,26.51021495,-0.6692937834,-11.16000995
6.7,6.71,658.0864272,0.4985091229,-1.406331291,25.92938349,-0.6201374967,-10.98114306
6.8,6.81,676.5223463,0.4985093471,-1.406330924,25.50200913,-0.7557068275,-10.83154686
6.9,6.91,695.1317866,0.4985095757,-1.406330549,25.15195364,-0.4057842401,-10.3115132
7,7.01,713.9110713,0.498509809,-1.406330168,24.92098367,-0.6247217449,-9.943828266
7.1,7.11,732.8563875,0.4985100469,-1.406329779,24.48327671,-0.398127794,-10.06781533
7.2,7.21,751.9627901,0.498510289,-1.406329385,22.79122621,-0.03316924407,-9.123972617
7.3,7.31,771.2162844,0.4985105343,-1.406328984,22.55443077,0.6922656554,-8.880808644
7.4,7.41,790.6092331,0.4985107818,-1.406328578,22.68138514,0.9906536205,-8.743262634
7.5,7.51,810.1420979,0.4985110304,-1.406328168,23.05016211,1.591702223,-8.467678365
7.6,7.61,829.8191877,0.4985112791,-1.406327756,23.28462378,1.641301156,-8.077058763
7.7,7.71,849.6444631,0.4985115269,-1.406327342,23.3760808,2.457577572,-7.771516001
7.8,7.81,869.6204712,0.4985117727,-1.40632693,23.24445001,3.207432884,-7.293404061
7.9,7.91,889.7468025,0.4985120163,-1.40632652,23.59541612,3.422889099,-6.441817236
8,8.01,910.0249586,0.4985122571,-1.406326115,23.47371241,3.587767638,-6.405848864
8.1,8.11,930.4517954,0.4985124941,-1.406325714,22.36365371,3.521300746,-5.894334085
8.2,8.21,950.9482635,0.4985127279,-1.406325317,-5.321470964,2.537295798,4.410351979
8.3,8.31,971.3094132,0.4985129592,-1.406324927,-4.517593154,1.898287126,3.623921763
8.4,8.41,991.5182376,0.4985131883,-1.406324542,-4.483821587,1.257513618,3.247043374
8.5,8.51,1011.579462,0.4985134154,-1.40632416,-4.413577057,-0.09339566629,2.723962048
8.6,8.61,1031.49233,0.4985136412,-1.406323778,-4.339634139,-0.5524407531,2.48754741
8.7,8.71,1051.257089,0.4985138662,-1.406323397,-4.353370622,-1.434099896,1.958643341
8.8,8.81,1070.87311,0.4985140911,-1.406323015,-4.321164489,-2.011688068,1.635702174
8.9,8.91,1090.339527,0.4985143162,-1.40632263,-4.341321216,-2.842959081,1.088558958
9,9.01,1109.655261,0.4985145422,-1.406322241,-4.342370884,-2.980470456,0.8336808033
9.1,9.11,1128.819984,0.4985147698,-1.406321848,-4.405927973,-3.205249187,0.315516255
9.2,9.21,1147.833696,0.4985149994,-1.406321451,-4.459185843,-3.050167359,0.01683027497
9.3,9.31,1166.697063,0.4985152316,-1.406321049,-4.58206227,-2.889650896,-0.4861059459
9.4,9.41,1185.410853,0.4985154666,-1.406320643,-4.638878209,-2.235806348,-0.6124230742
